Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
37,Non-Travel,946,Research & Development,22,2,Other,1,316,2,Female,81,1,5,Healthcare Representative,3,Married,5098,18747,7,Y,Yes,13,4,1,80,1,0,5,2,0,6,8,3,Yes
43,Travel_Frequently,1312,Research & Development,27,3,Life Sciences,1,317,2,Female,87,2,3,Research Scientist,3,Divorced,13897,2954,5,Y,No,21,3,2,80,1,17,1,1,0,2,1,10,Yes
34,Travel_Rarely,587,Sales,25,5,Technical Degree,1,318,2,Female,70,1,2,Sales Representative,2,Single,8771,2384,2,Y,No,12,3,4,80,0,21,5,3,5,2,0,2,No
39,Travel_Frequently,1316,Research & Development,27,1,Life Sciences,1,319,4,Male,73,2,5,Research Scientist,2,Divorced,1009,11743,8,Y,No,12,3,4,80,1,24,5,4,11,2,3,5,No
35,Travel_Rarely,221,Sales,20,5,Life Sciences,1,320,4,Male,33,3,5,Research Scientist,2,Married,8003,16438,7,Y,Yes,12,3,1,80,1,4,1,2,13,8,0,5,No
37,Travel_Frequently,321,Sales,18,4,Life Sciences,1,321,3,Male,97,3,5,Human Resources,4,Married,13367,7964,9,Y,No,14,3,3,80,0,0,4,2,8,4,0,1,No
42,Travel_Rarely,154,Sales,14,3,Life Sciences,1,322,3,Male,36,2,4,Laboratory Technician,3,Single,9049,2723,5,Y,No,11,4,2,80,0,14,6,4,11,11,0,5,No
29,Travel_Rarely,1362,Sales,18,3,Medical,1,323,1,Female,75,3,2,Manager,2,Single,7725,9101,0,Y,No,20,3,4,80,1,2,2,3,16,5,5,4,No
55,Travel_Rarely,859,Research & Development,5,4,Medical,1,324,3,Female,38,3,3,Manager,3,Married,5101,18280,1,Y,No,19,4,1,80,0,15,5,4,2,3,3,8,No
27,Travel_Rarely,839,Sales,26,1,Other,1,325,3,Male,62,4,2,Research Director,4,Single,6043,8037,3,Y,No,24,3,4,80,0,0,6,1,15,3,0,8,No
25,Travel_Rarely,821,Research & Development,9,4,Medical,1,326,2,Male,62,4,1,Sales Executive,1,Single,6550,18952,1,Y,Yes,15,3,1,80,0,19,5,1,16,1,2,0,Yes
47,Travel_Rarely,507,Research & Development,28,1,Life Sciences,1,327,2,Female,33,1,3,Research Scientist,4,Single,1009,23110,2,Y,No,15,4,2,80,0,12,3,3,3,5,4,0,No
44,Travel_Rarely,709,Research & Development,3,2,Medical,1,328,2,Male,94,1,2,Healthcare Representative,2,Married,8679,6174,7,Y,Yes,19,3,3,80,3,0,0,2,1,3,1,3,Yes
42,Travel_Rarely,1122,Research & Development,8,3,Life Sciences,1,329,2,Female,63,1,3,Laboratory Technician,2,Single,11184,15066,8,Y,Yes,24,3,2,80,1,13,3,2,11,1,7,7,No
42,Travel_Rarely,523,Research & Development,20,1,Life Sciences,1,330,2,Male,93,4,1,Laboratory Technician,4,Married,2984,3854,5,Y,No,15,3,4,80,1,12,5,3,19,3,5,4,No
36,Travel_Rarely,813,Research & Development,22,5,Marketing,1,331,1,Male,54,1,3,Sales Executive,3,Single,7592,13368,3,Y,Yes,23,3,4,80,2,15,4,3,1,2,0,5,Yes
28,Travel_Rarely,348,Sales,10,5,Marketing,1,332,1,Male,84,1,5,Research Scientist,2,Divorced,8161,6802,1,Y,No,23,3,4,80,1,17,3,1,18,5,1,14,No
37,Travel_Frequently,173,Human Resources,22,3,Medical,1,333,1,Male,38,4,4,Laboratory Technician,2,Single,10308,25398,6,Y,No,21,3,3,80,1,0,4,1,1,6,0,1,Yes
30,Travel_Rarely,286,Sales,19,4,Life Sciences,1,334,2,Male,46,2,1,Research Scientist,4,Married,6558,14260,9,Y,No,24,3,2,80,0,7,4,3,5,1,0,5,No
45,Non-Travel,107,Sales,21,4,Life Sciences,1,335,4,Male,50,4,3,Sales Executive,3,Married,9036,5492,6,Y,No,18,3,1,80,1,10,5,2,0,2,0,4,No
35,Travel_Frequently,1331,Sales,28,1,Human Resources,1,336,2,Male,89,2,1,Sales Executive,4,Married,1040,17024,9,Y,No,21,3,2,80,0,8,4,4,9,0,0,7,No
29,Travel_Rarely,1007,Research & Development,3,4,Life Sciences,1,337,2,Male,42,4,5,Sales Executive,4,Single,1732,12609,8,Y,Yes,11,4,2,80,0,8,3,4,7,8,6,7,No
33,Travel_Rarely,488,Sales,11,3,Life Sciences,1,338,1,Male,32,1,4,Healthcare Representative,3,Married,8526,16799,4,Y,No,11,3,3,80,0,19,1,4,7,0,0,6,No
40,Travel_Frequently,800,Research & Development,11,1,Life Sciences,1,339,2,Male,97,3,1,Healthcare Representative,3,Single,5420,5655,9,Y,Yes,14,3,2,80,0,0,0,1,3,1,2,9,No
31,Travel_Rarely,1201,Sales,17,2,Life Sciences,1,340,1,Male,33,3,5,Sales Executive,1,Married,1009,22322,3,Y,No,18,3,4,80,0,9,4,3,4,6,2,8,Yes
29,Travel_Rarely,1302,Research & Development,16,4,Life Sciences,1,341,2,Female,36,2,5,Sales Executive,4,Single,8133,12701,9,Y,No,13,3,3,80,0,9,6,2,6,1,0,5,No
39,Travel_Rarely,928,Sales,7,4,Other,1,342,3,Female,55,2,5,Laboratory Technician,3,Married,1009,22282,5,Y,No,11,3,4,80,2,10,5,1,5,1,5,3,No
39,Travel_Frequently,450,Sales,4,1,Other,1,343,4,Male,53,2,3,Research Scientist,2,Single,19202,15112,1,Y,Yes,21,3,4,80,0,3,2,3,6,6,1,5,No
32,Travel_Rarely,1380,Research & Development,23,5,Technical Degree,1,344,4,Male,39,3,2,Manager,1,Single,1009,11910,1,Y,No,22,4,2,80,2,28,4,3,0,0,0,0,No
32,Travel_Rarely,409,Sales,19,4,Life Sciences,1,345,1,Male,42,2,1,Manager,4,Married,6747,19986,8,Y,No,19,4,1,80,1,18,6,4,0,4,7,2,No
39,Non-Travel,1470,Research & Development,12,3,Life Sciences,1,346,3,Male,73,4,2,Sales Representative,3,Divorced,1254,22588,6,Y,No,19,3,2,80,1,28,3,4,9,2,0,0,No
23,Travel_Frequently,1252,Research & Development,15,4,Other,1,347,4,Female,68,4,5,Laboratory Technician,1,Married,10804,23331,6,Y,No,19,3,1,80,0,16,4,2,9,2,4,7,No
24,Travel_Rarely,388,Sales,11,2,Medical,1,348,1,Female,48,3,2,Research Scientist,1,Married,4606,8925,4,Y,No,19,3,3,80,2,17,2,2,8,8,0,8,No
30,Travel_Rarely,867,Human Resources,5,4,Other,1,349,2,Female,80,4,5,Manufacturing Director,2,Married,11260,10289,6,Y,Yes,12,3,3,80,0,11,6,4,10,4,0,6,No
34,Travel_Frequently,826,Sales,5,5,Marketing,1,350,2,Male,48,2,5,Sales Executive,1,Married,10106,5541,8,Y,Yes,24,3,3,80,1,23,1,4,4,0,1,3,Yes
39,Travel_Rarely,863,Research & Development,15,4,Life Sciences,1,351,3,Male,81,3,4,Sales Executive,4,Single,1481,15774,9,Y,No,24,3,4,80,1,15,3,3,4,0,9,1,No
50,Travel_Rarely,484,Sales,18,1,Marketing,1,352,4,Female,76,2,4,Sales Executive,3,Single,3081,7678,4,Y,No,21,3,4,80,0,9,3,2,4,3,0,7,Yes
44,Travel_Rarely,489,Research & Development,11,4,Other,1,353,2,Male,59,4,2,Research Scientist,1,Divorced,4880,5885,8,Y,Yes,21,3,3,80,0,25,5,3,0,0,0,7,No
35,Non-Travel,626,Sales,26,5,Life Sciences,1,354,1,Male,75,2,1,Research Scientist,1,Married,6182,23559,0,Y,No,21,3,2,80,0,1,3,2,10,8,6,3,No
36,Travel_Rarely,740,Research & Development,12,1,Technical Degree,1,355,2,Female,50,3,2,Sales Executive,4,Married,5576,11446,2,Y,No,14,3,4,80,2,5,2,2,11,0,0,4,No
27,Travel_Frequently,1039,Research & Development,2,3,Medical,1,356,2,Female,77,2,1,Manufacturing Director,2,Married,9922,19311,6,Y,Yes,12,3,4,80,2,33,6,1,12,4,0,2,No
36,Travel_Frequently,377,Research & Development,20,1,Life Sciences,1,357,4,Female,91,4,2,Human Resources,2,Married,7599,16792,3,Y,No,17,3,2,80,2,16,3,4,5,0,2,5,No
34,Travel_Rarely,601,Research & Development,15,2,Life Sciences,1,358,4,Male,87,1,3,Sales Executive,3,Married,3620,12284,1,Y,No,21,3,4,80,0,0,1,1,2,0,1,2,No
39,Travel_Rarely,818,Research & Development,20,1,Life Sciences,1,359,1,Male,47,3,3,Laboratory Technician,4,Married,2211,7429,2,Y,No,13,4,2,80,0,19,0,2,4,3,3,3,No
29,Travel_Rarely,438,Research & Development,4,3,Medical,1,360,3,Male,88,2,1,Sales Executive,2,Single,2665,23965,6,Y,No,19,4,1,80,0,3,0,3,3,15,1,0,No
41,Travel_Rarely,1033,Sales,22,4,Life Sciences,1,361,3,Female,77,3,4,Research Director,3,Married,8050,8354,7,Y,Yes,17,3,2,80,2,6,4,2,0,2,2,5,Yes
50,Travel_Rarely,582,Sales,18,1,Life Sciences,1,362,2,Male,92,2,1,Research Scientist,3,Married,5592,17699,8,Y,No,18,3,1,80,0,31,0,1,8,6,1,10,No
35,Travel_Frequently,1012,Sales,6,1,Life Sciences,1,363,1,Female,41,1,2,Sales Representative,2,Divorced,16277,20653,5,Y,No,19,3,4,80,0,24,2,4,12,2,0,5,No
40,Travel_Rarely,1398,Research & Development,23,1,Medical,1,364,3,Female,63,4,5,Research Scientist,4,Married,6498,11667,9,Y,No,18,3,1,80,2,26,0,3,8,7,0,7,No
43,Travel_Frequently,1183,Research & Development,27,1,Marketing,1,365,3,Male,90,2,3,Manager,1,Married,7387,22651,8,Y,No,17,3,2,80,1,6,2,2,7,3,8,6,No
33,Travel_Rarely,1453,Research & Development,26,3,Marketing,1,366,2,Male,82,2,5,Sales Executive,2,Single,1009,4882,3,Y,No,19,3,1,80,1,9,2,2,3,0,0,3,Yes
38,Travel_Rarely,210,Sales,19,5,Life Sciences,1,367,1,Male,54,1,3,Research Scientist,1,Single,1009,25938,4,Y,No,21,3,3,80,0,13,4,4,11,3,0,4,No
37,Travel_Rarely,1404,Research & Development,11,5,Technical Degree,1,368,3,Female,91,3,2,Sales Executive,1,Divorced,1229,13107,0,Y,Yes,11,3,2,80,1,18,0,2,6,0,2,2,No
37,Travel_Rarely,429,Sales,28,1,Medical,1,369,4,Female,33,4,3,Research Scientist,4,Married,3994,14463,8,Y,No,21,3,2,80,2,8,4,2,0,1,0,7,No
29,Travel_Rarely,416,Research & Development,24,3,Technical Degree,1,370,4,Female,42,2,1,Manager,4,Single,1009,8815,8,Y,No,14,3,1,80,1,25,3,4,15,5,5,5,No
37,Travel_Rarely,1236,Research & Development,2,3,Other,1,371,2,Male,71,2,5,Manufacturing Director,3,Married,1071,22669,8,Y,No,14,3,4,80,0,15,1,1,10,1,3,7,Yes
41,Travel_Rarely,800,Research & Development,27,1,Other,1,372,2,Male,78,4,5,Research Scientist,4,Single,9625,9406,2,Y,No,15,3,4,80,0,22,6,1,17,2,1,4,No
50,Travel_Rarely,882,Research & Development,8,2,Marketing,1,373,2,Female,85,1,2,Human Resources,3,Married,2458,26665,9,Y,No,18,3,2,80,0,5,0,1,14,7,0,0,No
45,Travel_Rarely,1354,Research & Development,11,1,Life Sciences,1,374,2,Male,76,3,5,Laboratory Technician,2,Single,6307,17006,9,Y,No,20,3,2,80,1,8,3,1,3,2,0,1,No
56,Travel_Rarely,257,Sales,5,2,Other,1,375,3,Female,37,4,2,Human Resources,1,Married,9283,6710,9,Y,No,11,3,1,80,0,13,5,3,5,6,3,7,No
29,Travel_Rarely,1397,Research & Development,18,1,Marketing,1,376,1,Female,84,3,4,Sales Executive,4,Married,10949,3089,7,Y,No,16,3,2,80,1,7,6,3,13,2,2,3,No
44,Non-Travel,988,Sales,23,2,Marketing,1,377,2,Male,47,1,1,Sales Representative,2,Single,7874,2450,2,Y,No,19,3,2,80,1,19,6,4,0,7,0,7,No
38,Travel_Rarely,1127,Research & Development,18,2,Human Resources,1,378,2,Male,64,1,3,Sales Executive,3,Divorced,8157,26855,5,Y,No,20,3,4,80,1,19,6,4,17,8,3,9,No
56,Travel_Frequently,859,Research & Development,14,1,Medical,1,379,3,Male,61,4,3,Laboratory Technician,4,Divorced,11093,3787,4,Y,Yes,18,3,2,80,0,9,3,4,8,0,7,7,No
29,Travel_Rarely,823,Sales,22,2,Life Sciences,1,380,2,Male,53,2,3,Laboratory Technician,1,Single,8447,4684,7,Y,No,12,3,1,80,1,16,4,3,12,0,2,7,Yes
29,Travel_Rarely,1014,Sales,10,4,Life Sciences,1,381,2,Female,36,1,4,Laboratory Technician,2,Divorced,11366,11628,2,Y,No,17,3,2,80,1,27,4,2,8,3,1,0,Yes
31,Travel_Rarely,1411,Human Resources,3,5,Other,1,382,1,Female,42,1,1,Laboratory Technician,4,Married,1009,10015,0,Y,No,15,3,2,80,0,19,6,3,7,1,0,3,Yes
18,Travel_Rarely,972,Human Resources,9,3,Other,1,383,4,Female,98,4,5,Research Scientist,4,Married,6106,3785,8,Y,Yes,12,3,2,80,3,16,6,1,5,7,1,4,No
32,Travel_Rarely,114,Research & Development,3,2,Life Sciences,1,384,2,Female,71,4,5,Human Resources,2,Divorced,6761,11368,9,Y,No,21,3,3,80,0,21,1,1,6,4,0,7,No
29,Travel_Rarely,709,Sales,11,2,Life Sciences,1,385,3,Male,60,4,1,Human Resources,3,Married,5945,20535,8,Y,No,11,3,2,80,1,24,1,2,0,0,0,4,No
38,Travel_Rarely,599,Sales,12,3,Other,1,386,1,Male,55,1,1,Human Resources,3,Married,7079,4998,2,Y,No,12,3,1,80,0,23,6,4,10,9,3,0,Yes
40,Travel_Rarely,339,Research & Development,12,2,Marketing,1,387,3,Female,61,3,3,Human Resources,4,Divorced,4580,13481,1,Y,Yes,21,3,4,80,1,10,1,3,20,9,3,0,No
53,Travel_Rarely,1219,Research & Development,3,3,Human Resources,1,388,1,Male,81,1,5,Manager,3,Married,10208,22929,3,Y,No,20,3,4,80,1,18,6,2,1,0,2,2,No
45,Non-Travel,1463,Sales,21,1,Medical,1,389,1,Female,49,4,1,Human Resources,3,Married,3982,13703,7,Y,No,16,4,3,80,0,8,1,2,0,2,1,13,No
31,Travel_Rarely,882,Research & Development,7,4,Marketing,1,390,2,Female,69,2,5,Sales Representative,2,Single,5476,9031,5,Y,Yes,21,4,1,80,1,10,6,3,16,7,5,5,No
28,Travel_Rarely,1296,Sales,14,4,Medical,1,391,2,Male,88,2,1,Research Scientist,3,Divorced,13286,20858,9,Y,No,22,3,4,80,1,15,4,2,9,7,0,5,No
41,Travel_Rarely,707,Human Resources,24,5,Human Resources,1,392,2,Male,43,4,2,Manager,3,Married,12630,10302,0,Y,Yes,18,3,4,80,1,0,2,4,12,9,0,0,No
24,Travel_Rarely,762,Research & Development,28,2,Medical,1,393,4,Male,73,2,3,Research Director,2,Married,7240,17877,7,Y,No,13,3,2,80,0,14,4,3,10,13,2,8,Yes
53,Travel_Rarely,950,Research & Development,11,5,Technical Degree,1,394,4,Female,77,1,1,Healthcare Representative,4,Married,3506,10609,4,Y,No,15,4,2,80,0,5,2,3,1,5,6,2,No
47,Travel_Rarely,1037,Research & Development,7,1,Technical Degree,1,395,3,Male,72,3,4,Laboratory Technician,4,Single,1009,4164,5,Y,No,21,3,2,80,1,2,4,2,12,8,2,9,No
32,Travel_Rarely,729,Research & Development,25,4,Technical Degree,1,396,2,Female,45,1,1,Sales Executive,2,Single,5882,19408,4,Y,Yes,12,3,3,80,0,17,5,4,3,13,2,0,No
21,Travel_Rarely,244,Sales,21,1,Life Sciences,1,397,4,Male,64,4,2,Manager,1,Married,8888,14840,9,Y,No,22,3,2,80,1,9,4,4,1,4,0,3,No
49,Travel_Rarely,1326,Sales,10,1,Life Sciences,1,398,2,Female,82,1,4,Research Director,2,Married,3110,15865,4,Y,No,18,3,1,80,0,13,1,1,10,1,0,2,No
35,Travel_Rarely,1305,Research & Development,11,2,Life Sciences,1,399,4,Male,63,2,4,Research Scientist,1,Divorced,6527,14938,2,Y,No,14,3,3,80,0,9,2,3,8,5,0,6,No
48,Travel_Rarely,815,Research & Development,15,1,Life Sciences,1,400,4,Male,32,1,1,Sales Executive,3,Married,4862,19922,3,Y,No,21,3,4,80,2,6,3,1,9,9,4,7,No
22,Travel_Rarely,1489,Research & Development,19,4,Life Sciences,1,401,1,Female,97,3,2,Research Scientist,4,Divorced,1009,14322,4,Y,Yes,20,3,4,80,1,12,5,4,9,10,0,1,Yes
31,Travel_Rarely,580,Research & Development,16,5,Life Sciences,1,402,2,Female,34,2,4,Laboratory Technician,1,Single,7050,21880,1,Y,No,22,3,1,80,1,0,3,4,12,4,0,6,No
36,Travel_Frequently,666,Research & Development,22,4,Life Sciences,1,403,2,Male,39,3,3,Research Scientist,1,Divorced,8544,23030,5,Y,No,16,4,1,80,2,10,5,1,14,3,0,9,No
37,Travel_Rarely,572,Sales,21,2,Other,1,404,4,Female,81,3,3,Manufacturing Director,3,Single,7249,19999,1,Y,No,13,3,4,80,1,26,3,3,8,0,0,7,No
32,Travel_Rarely,485,Research & Development,28,4,Medical,1,405,2,Female,58,3,5,Human Resources,4,Married,14078,5192,3,Y,No,21,3,1,80,1,1,1,1,15,4,5,2,No
42,Travel_Rarely,1027,Research & Development,20,3,Life Sciences,1,406,4,Male,60,1,5,Manufacturing Director,3,Married,4987,26598,0,Y,No,18,3,1,80,3,22,3,4,13,0,0,2,No
27,Non-Travel,518,Research & Development,12,5,Medical,1,407,2,Male,95,1,2,Research Scientist,4,Married,4613,25833,3,Y,No,18,3,1,80,1,27,6,4,11,0,5,3,No
35,Travel_Rarely,409,Research & Development,18,3,Medical,1,408,1,Female,98,1,4,Research Director,4,Single,16682,20665,6,Y,No,13,3,2,80,1,5,4,2,3,5,0,7,No
37,Travel_Rarely,750,Sales,23,3,Other,1,409,2,Male,66,1,3,Laboratory Technician,3,Single,1009,21046,7,Y,No,22,3,4,80,0,13,1,2,12,0,6,5,No
41,Travel_Rarely,1492,Research & Development,13,2,Technical Degree,1,410,1,Male,56,2,3,Sales Executive,1,Married,3586,13079,1,Y,No,19,4,1,80,2,1,6,1,9,5,3,0,No
43,Travel_Rarely,1126,Research & Development,5,1,Life Sciences,1,411,3,Female,62,1,2,Laboratory Technician,2,Married,8196,10377,2,Y,No,20,3,1,80,0,0,3,2,0,7,0,4,Yes
26,Travel_Rarely,1169,Research & Development,4,3,Life Sciences,1,412,2,Male,97,2,4,Manufacturing Director,4,Divorced,11788,23425,0,Y,No,23,3,2,80,0,12,1,4,0,0,1,9,No
22,Travel_Rarely,840,Sales,28,4,Other,1,413,2,Male,88,3,2,Manager,4,Married,10893,15649,6,Y,No,15,3,4,80,0,14,4,3,0,2,0,7,No
48,Travel_Frequently,1223,Sales,14,1,Life Sciences,1,414,2,Female,93,2,1,Research Director,2,Divorced,1612,7034,3,Y,Yes,20,3,3,80,0,6,1,3,0,0,0,1,No
39,Travel_Rarely,1390,Sales,8,4,Other,1,415,1,Male,73,4,3,Research Scientist,2,Single,14149,6856,9,Y,No,19,3,4,80,0,2,3,1,0,6,6,0,Yes
30,Travel_Rarely,241,Sales,9,4,Life Sciences,1,416,2,Female,78,1,2,Sales Executive,3,Single,8681,3847,7,Y,No,17,3,4,80,1,5,1,2,12,0,3,2,No
51,Non-Travel,1362,Research & Development,25,1,Life Sciences,1,417,2,Female,82,4,2,Sales Executive,4,Single,2648,7148,4,Y,No,20,3,4,80,1,18,5,1,7,6,0,4,No
37,Travel_Rarely,1075,Research & Development,19,1,Life Sciences,1,418,4,Male,78,2,1,Healthcare Representative,3,Divorced,3044,15370,8,Y,Yes,13,3,2,80,0,18,0,2,12,5,1,2,No
47,Travel_Rarely,1118,Research & Development,3,4,Life Sciences,1,419,3,Male,95,1,5,Manager,2,Married,6836,23370,5,Y,No,16,3,4,80,1,16,3,3,0,11,2,0,No
37,Travel_Rarely,1054,Research & Development,5,2,Medical,1,420,1,Male,92,4,3,Research Scientist,3,Single,16615,7875,9,Y,No,20,4,3,80,1,8,4,2,0,10,4,6,No
55,Travel_Rarely,1005,Research & Development,21,5,Other,1,421,4,Male,54,1,2,Research Scientist,4,Single,7498,18565,1,Y,No,12,3,1,80,1,2,2,2,1,0,1,0,No
52,Travel_Rarely,173,Sales,26,5,Life Sciences,1,422,1,Female,33,2,3,Research Director,1,Single,16572,20119,0,Y,No,16,3,4,80,0,21,1,1,11,10,1,8,No
34,Non-Travel,1315,Research & Development,18,2,Life Sciences,1,423,4,Female,80,4,5,Research Director,1,Married,10627,5056,0,Y,Yes,22,3,2,80,2,24,5,3,11,2,5,6,Yes
45,Travel_Frequently,1393,Research & Development,1,1,Life Sciences,1,424,3,Male,40,2,2,Research Scientist,4,Married,1009,7507,8,Y,No,15,4,4,80,0,7,1,2,5,1,1,5,No
42,Travel_Rarely,1446,Sales,8,4,Life Sciences,1,425,4,Male,46,4,1,Manager,3,Married,13115,9514,0,Y,No,23,3,4,80,0,10,3,3,8,2,0,6,No
49,Travel_Rarely,208,Sales,19,5,Technical Degree,1,426,1,Male,95,3,3,Manufacturing Director,2,Married,2062,10836,2,Y,No,13,3,3,80,0,0,5,2,3,3,4,3,No
28,Travel_Frequently,1357,Research & Development,17,4,Life Sciences,1,427,2,Male,99,3,1,Sales Executive,2,Divorced,3608,12732,1,Y,No,24,3,3,80,1,15,3,3,2,11,4,4,Yes
43,Non-Travel,1167,Research & Development,17,2,Medical,1,428,2,Male,98,3,5,Research Scientist,1,Married,7796,9004,3,Y,Yes,17,3,2,80,1,27,0,2,9,0,0,9,Yes
46,Travel_Frequently,984,Research & Development,11,4,Technical Degree,1,429,3,Male,58,3,5,Sales Executive,3,Married,6366,23651,0,Y,No,21,3,2,80,0,18,4,4,11,10,3,3,No
20,Travel_Rarely,240,Sales,2,2,Life Sciences,1,430,1,Female,49,3,3,Research Scientist,2,Divorced,10699,12576,0,Y,Yes,14,3,2,80,0,28,5,3,17,7,0,5,No
26,Travel_Rarely,716,Research & Development,6,1,Other,1,431,1,Male,56,2,5,Manufacturing Director,2,Married,8858,23707,3,Y,No,21,3,2,80,1,8,5,4,0,4,3,5,No
18,Travel_Rarely,964,Research & Development,22,2,Human Resources,1,432,1,Male,37,3,4,Research Scientist,4,Married,5945,14123,3,Y,No,24,3,2,80,1,1,1,4,0,2,5,4,No
34,Travel_Rarely,374,Sales,14,2,Marketing,1,433,3,Female,90,2,3,Research Scientist,3,Divorced,14484,10909,6,Y,No,16,3,1,80,0,23,1,4,3,3,4,3,No
43,Travel_Rarely,517,Research & Development,3,5,Other,1,434,2,Male,57,3,4,Laboratory Technician,3,Single,4269,5851,7,Y,No,19,3,1,80,2,12,2,2,10,7,4,0,No
50,Travel_Rarely,607,Sales,12,4,Marketing,1,435,4,Male,99,1,5,Sales Executive,2,Married,1799,6890,7,Y,No,22,3,2,80,3,4,6,3,19,7,0,7,Yes
37,Travel_Rarely,834,Research & Development,4,5,Marketing,1,436,3,Male,32,3,3,Healthcare Representative,3,Single,8677,5386,7,Y,No,24,3,2,80,0,25,5,2,7,1,0,7,No
51,Travel_Rarely,525,Sales,12,3,Life Sciences,1,437,4,Male,98,1,4,Research Scientist,3,Single,6414,5926,8,Y,No,16,3,1,80,1,6,1,2,1,6,4,4,No
24,Travel_Rarely,491,Sales,13,2,Technical Degree,1,438,2,Male,36,2,5,Laboratory Technician,3,Single,7653,4705,0,Y,No,14,3,3,80,0,2,1,3,0,2,2,8,Yes
21,Travel_Rarely,443,Sales,2,3,Other,1,439,3,Female,89,3,2,Human Resources,4,Single,9969,10447,8,Y,Yes,20,3,1,80,1,15,6,1,3,3,0,5,No
36,Travel_Rarely,1047,Sales,2,5,Other,1,440,2,Male,33,4,2,Research Scientist,2,Married,5630,12368,9,Y,No,12,3,2,80,0,1,0,2,8,8,5,0,No
40,Travel_Rarely,715,Research & Development,15,4,Human Resources,1,441,4,Female,34,2,1,Manufacturing Director,1,Divorced,15235,10322,7,Y,No,19,3,3,80,0,19,2,4,11,7,0,0,No
36,Travel_Rarely,594,Sales,23,5,Marketing,1,442,1,Male,40,3,2,Research Scientist,3,Married,7745,13162,0,Y,No,24,3,2,80,1,2,6,2,8,0,3,2,No
18,Travel_Frequently,293,Research & Development,17,4,Life Sciences,1,443,1,Male,44,2,4,Sales Representative,2,Married,4383,25244,6,Y,No,14,3,4,80,1,13,1,1,2,4,2,1,Yes
36,Travel_Rarely,600,Sales,7,4,Life Sciences,1,444,4,Male,93,4,2,Manager,1,Married,9271,26015,8,Y,No,14,4,3,80,0,13,1,4,0,5,5,4,No
25,Travel_Rarely,923,Research & Development,28,1,Medical,1,445,1,Male,42,3,3,Research Scientist,4,Divorced,6098,23774,3,Y,No,12,3,2,80,0,13,4,2,11,4,1,0,No
42,Travel_Rarely,1358,Research & Development,14,2,Medical,1,446,4,Male,36,4,3,Healthcare Representative,2,Divorced,7032,5440,8,Y,No,15,3,1,80,0,1,5,3,3,0,0,10,No
40,Non-Travel,328,Sales,12,5,Medical,1,447,3,Male,35,3,3,Sales Executive,4,Divorced,1301,6148,0,Y,No,23,3,2,80,1,9,1,4,4,0,2,0,No
28,Travel_Rarely,1496,Human Resources,17,4,Human Resources,1,448,3,Male,85,1,2,Human Resources,2,Divorced,1833,18086,8,Y,Yes,16,3,1,80,1,22,0,1,0,0,3,3,Yes
32,Travel_Rarely,240,Sales,14,5,Technical Degree,1,449,3,Male,93,2,2,Research Scientist,4,Single,11489,6294,5,Y,No,20,3,3,80,1,9,1,2,0,1,5,1,No
27,Travel_Rarely,957,Research & Development,6,5,Other,1,450,1,Male,79,4,1,Manager,2,Married,1009,16585,3,Y,Yes,16,3,1,80,1,2,5,3,17,4,0,0,No
36,Travel_Rarely,918,Research & Development,19,4,Life Sciences,1,451,2,Male,59,2,5,Research Scientist,4,Married,5924,10621,4,Y,No,13,3,3,80,1,7,1,4,2,2,4,6,No
45,Travel_Rarely,1274,Research & Development,24,3,Other,1,452,1,Male,51,4,1,Manufacturing Director,1,Married,8031,16339,6,Y,No,22,3,2,80,1,1,6,4,0,1,5,0,No
27,Travel_Rarely,1240,Research & Development,6,2,Medical,1,453,1,Female,54,2,4,Human Resources,2,Married,13141,12629,9,Y,No,24,3,1,80,1,0,3,3,7,0,0,4,No
41,Non-Travel,1188,Research & Development,27,2,Medical,1,454,2,Female,57,2,3,Sales Representative,1,Single,4237,20038,3,Y,No,19,3,3,80,1,9,1,1,6,0,3,0,Yes
32,Travel_Rarely,205,Sales,18,1,Other,1,455,2,Male,68,2,2,Sales Executive,3,Single,10066,9616,7,Y,No,17,3,3,80,2,12,2,4,0,0,0,0,No
29,Travel_Frequently,972,Sales,24,1,Other,1,456,2,Male,96,1,5,Laboratory Technician,1,Divorced,5933,15267,2,Y,Yes,23,3,3,80,0,16,5,1,13,7,4,3,No
35,Travel_Frequently,769,Research & Development,5,1,Life Sciences,1,457,2,Male,34,3,5,Research Scientist,2,Married,1009,6258,1,Y,Yes,24,3,4,80,0,14,5,1,11,5,2,5,No
27,Travel_Rarely,374,Research & Development,24,2,Life Sciences,1,458,1,Female,94,1,2,Laboratory Technician,1,Single,6716,14532,0,Y,No,13,3,3,80,0,16,3,3,12,7,0,1,Yes
31,Non-Travel,1131,Research & Development,24,3,Other,1,459,4,Male,44,2,1,Research Scientist,2,Single,6185,25198,5,Y,No,14,3,2,80,1,10,2,4,8,5,0,8,No
